"ID","Title","Blurb","Authors","Genres","Page Count","Pages Read","Date Added","Date Started","Date Finished","Reading State","Cover URL","Progress Entries"
"ZSu2DQAAQBAJ","All Systems Red","Winner: 2018 Hugo Award for Best Novella Winner: 2018 Nebula Award for Best Novella Winner: 2018 Alex Award Winner: 2018 Locus Award One of the Verge's Best Books of 2017 A New York Times and USA Today Bestseller A murderous android discovers itself in All Systems Red, a tense science fiction adventure by Martha Wells that interrogates the roots of consciousness through Artificial Intelligence. “As a heartless killing machine, I was a complete failure.“ In a corporate-dominated spacefaring future, planetary missions must be approved and supplied by the Company. Exploratory teams are accompanied by Company-supplied security androids, for their own safety. But in a society where contracts are awarded to the lowest bidder, safety isn’t a primary concern. On a distant planet, a team of scientists are conducting surface tests, shadowed by their Company-supplied ‘droid — a self-aware SecUnit that has hacked its own governor module, and refers to itself (though never out loud) as “Murderbot.” Scornful of humans, all it really wants is to be left alone long enough to figure out who it is. But when a neighboring mission goes dark, it's up to the scientists and their Murderbot to get to the truth. At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.","Martha Wells","Fiction","144","0","2021-07-31T10:44:56Z","","","Unread","https://tse4.mm.bing.net/th?id=OIP.3F50GPX4z4a3oQ4j96pRQAHaLx&pid=Api",""
"3hlyngEACAAJ","Assassin's Apprentice","A bastard prince relegated to cleaning stables is chosen by a king to become an assassin. The novel follows the training and missions of this man who has inherited magical skills, among them mind-control and the ability to communicate with animals.","Robin Hobb","Assassins","392","0","2021-08-11T02:26:42Z","","","Unread","https://tse2.mm.bing.net/th?id=OIP.7lCX16X73bSnMx_D-yvCOAAAAA&pid=Api",""
"IDVEzgEACAAJ","Breach of Peace","An imperial family is found butchered. Officers of God are called to investigate. Evidence points to a rebel group trying to seed fear into the very heart of the empire itself. Inspector Khlid takes the case and begins a harrowing hunt for those responsible. But when a larger conspiracy comes to light, will Inspector Khlid be able to trust those working within her own precinct?","Daniel B Greene","","140","140","2021-08-13T06:42:38Z","2021-03-29T23:37:00Z","2021-04-02T23:37:00Z","Read","https://tse4.mm.bing.net/th?id=OIP.fVk4wPWXqkA7_WvHiWY89wHaLH&pid=Api",""
"DxmKzQEACAAJ","Dune","Before The Matrix, before Star Wars, before Ender's Game and Neuromancer, there was Dune: winner of the prestigious Hugo and Nebula awards, and widely considered one of the greatest science fiction novels ever written. Melange, or 'spice', is the most valuable - and rarest - element in the universe; a drug that does everything from increasing a person's life-span to making intersteller travel possible. And it can only be found on a single planet: the inhospitable desert world Arrakis. Whoever controls Arrakis controls the spice. And whoever controls the spice controls the universe. When the Emperor transfers stewardship of Arrakis from the noble House Harkonnen to House Atreides, the Harkonnens fight back, murdering Duke Leto Atreides. Paul, his son, and Lady Jessica, his concubine, flee into the desert. On the point of death, they are rescued by a band for Fremen, the native people of Arrakis, who control Arrakis' second great resource: the giant worms that burrow beneath the burning desert sands. In order to avenge his father and retake Arrakis from the Harkonnens, Paul must earn the trust of the Fremen and lead a tiny army against the innumerable forces aligned against them. And his journey will change the universe.","Frank Herbert","","592","592","2021-08-13T06:42:38Z","2020-09-01T00:45:00Z","2020-09-29T00:45:00Z","Read","https://tse3.mm.bing.net/th?id=OIP.fJGc7SwFQ7gAyd_tzjUu1gHaLL&pid=Api",""
"caVnDwAAQBAJ","Edgedancer","Three years ago, Lift asked a goddess to stop her from growing older--a wish she believed was granted. Now, in Edgedancer, the barely teenage nascent Knight Radiant finds that time stands still for no one. Although the young Azish emperor granted her safe haven from an executioner she knows only as Darkness, court life is suffocating the free-spirited Lift, who can't help heading to Yeddaw when she hears the relentless Darkness is there hunting people like her with budding powers. The downtrodden in Yeddaw have no champion, and Lift knows she must seize this awesome responsibility.","Brandon Sanderson","","272","272","2021-08-13T06:42:38Z","2021-05-22T13:33:00Z","2021-05-26T13:33:00Z","Read","https://tse2.mm.bing.net/th?id=OIP.QMBSCEXxEzsZkwYmBisEvgHaLk&pid=Api",""
"R_nt5CFaJKEC","Elantris","Elantris was built on magic and it thrived. But then the magic began to fade and Elantris began to rot. And now its shattered citizens face domination by a powerful Imperium motivated by dogged religious views. Can a young Princess unite the people of Elantris, rediscover the lost magic and lead a rebellion against the imperial zealots? Brandon Sanderson's debut fantasy showed his skill as a storyteller and an imaginer of baroque magical systems to be fully developed from the start.","Brandon Sanderson","","656","656","2021-08-13T06:42:38Z","2020-12-28T23:47:00Z","2021-01-02T23:47:00Z","Read","https://tse1.mm.bing.net/th?id=OIP.syhKLKYHCjyv5qPeU_1-sAAAAA&pid=Api",""
"0C9ZAAAAYAAJ","Foundation","A band of psychologists, under the leadership of psychohistorian Hari Seldon, plants a colony to encourage art, science, and technology in the declining Galactic Empire and to preserve the accumulated knowledge of humankind. Reprint. 25,000 first printing.","Isaac Asimov","","244","0","2021-08-13T06:42:38Z","2021-07-27T05:50:36Z","","Unread","https://tse3.mm.bing.net/th?id=OIP.bD03ym7DItPeJWuUbqcHxQHaMp&pid=Api",""
"HHJwDwAAQBAJ","Gideon the Ninth","Gideon the Ninth is the first book in the New York Times and USA Today Bestselling Locked Tomb Trilogy, and one of the Best Books of 2019 according to NPR, the New York Public Library, Amazon, BookPage, Shelf Awareness, BookRiot, and Bustle! WINNER of the 2020 Locus Award and Crawford Award Finalist for the 2020 Hugo, Nebula, Dragon, and World Fantasy Awards “Unlike anything I’ve ever read. ” —V.E. Schwab “Lesbian necromancers explore a haunted gothic palace in space!” —Charles Stross “Deft, tense and atmospheric, compellingly immersive and wildly original.” —The New York Times The Emperor needs necromancers. The Ninth Necromancer needs a swordswoman. Gideon has a sword, some dirty magazines, and no more time for undead nonsense. Tamsyn Muir’s Gideon the Ninth unveils a solar system of swordplay, cut-throat politics, and lesbian necromancers. Her characters leap off the page, as skillfully animated as arcane revenants. The result is a heart-pounding epic science fantasy. Brought up by unfriendly, ossifying nuns, ancient retainers, and countless skeletons, Gideon is ready to abandon a life of servitude and an afterlife as a reanimated corpse. She packs up her sword, her shoes, and her dirty magazines, and prepares to launch her daring escape. But her childhood nemesis won’t set her free without a service. Harrowhark Nonagesimus, Reverend Daughter of the Ninth House and bone witch extraordinaire, has been summoned into action. The Emperor has invited the heirs to each of his loyal Houses to a deadly trial of wits and skill. If Harrowhark succeeds she will be become an immortal, all-powerful servant of the Resurrection, but no necromancer can ascend without their cavalier. Without Gideon’s sword, Harrow will fail, and the Ninth House will die. Of course, some things are better left dead. THE LOCKED TOMB TRILOGY BOOK 1: Gideon the Ninth BOOK 2: Harrow the Ninth BOOK 3: Alecto the Ninth At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.","Tamsyn Muir","","448","0","2021-08-13T06:42:38Z","2021-07-26T09:40:31Z","","Unread","https://tse3.mm.bing.net/th?id=OIP.vKTYvz5f46a4bX3EzQebrQHaLX&pid=Api",""
"I6VxCwAAQBAJ","Mistborn: Secret History","Note: This novella is included in Arcanum Unbounded: The Cosmere Collection, now available in print, ebook, and audiobook from Tor (US/Canada) and Gollancz (UK/Commonwealth). Mistborn: Secret History is a companion story to the original Mistborn Trilogy. As such, it contains huge spoilers for the books Mistborn (The Final Empire), The Well of Ascension, and The Hero of Ages. It also contains very minor spoilers for the book The Bands of Mourning. Mistborn: Secret History builds upon the characterization, events, and worldbuilding of the original trilogy. Reading it without that background will be a confusing process at best. In short, this isn’t the place to start your journey into Mistborn. (Though if you have read the trilogy—but it has been a while—you should be just fine, so long as you remember the characters and the general plot of the books.) Saying anything more here risks revealing too much. Even knowledge of this story’s existence is, in a way, a spoiler. There’s always another secret.","Brandon Sanderson","","242","242","2021-08-13T06:42:38Z","2021-01-10T23:42:00Z","2021-01-12T23:42:00Z","Read","https://tse4.mm.bing.net/th?id=OIP.8i5748NdJhkI6E2L4ZXVrAAAAA&pid=Api",""
"fy06swEACAAJ","Oathbringer","The #1 New York Times bestselling sequel to Words of Radiance, from epic fantasy author Brandon Sanderson at the top of his game. In Oathbringer, the third volume of the New York Times bestselling Stormlight Archive, humanity faces a new Desolation with the return of the Voidbringers, a foe with numbers as great as their thirst for vengeance. Dalinar Kholin’s Alethi armies won a fleeting victory at a terrible cost: The enemy Parshendi summoned the violent Everstorm, which now sweeps the world with destruction, and in its passing awakens the once peaceful and subservient parshmen to the horror of their millennia-long enslavement by humans. While on a desperate flight to warn his family of the threat, Kaladin Stormblessed must come to grips with the fact that the newly kindled anger of the parshmen may be wholly justified. Nestled in the mountains high above the storms, in the tower city of Urithiru, Shallan Davar investigates the wonders of the ancient stronghold of the Knights Radiant and unearths dark secrets lurking in its depths. And Dalinar realizes that his holy mission to unite his homeland of Alethkar was too narrow in scope. Unless all the nations of Roshar can put aside Dalinar’s blood-soaked past and stand together—and unless Dalinar himself can confront that past—even the restoration of the Knights Radiant will not prevent the end of civilization. Other Tor books by Brandon Sanderson The Cosmere The Stormlight Archive The Way of Kings Words of Radiance Edgedancer (Novella) Oathbringer The Mistborn trilogy Mistborn: The Final Empire The Well of Ascension The Hero of Ages Mistborn: The Wax and Wayne series Alloy of Law Shadows of Self Bands of Mourning Collection Arcanum Unbounded Other Cosmere novels Elantris Warbreaker The Alcatraz vs. the Evil Librarians series Alcatraz vs. the Evil Librarians The Scrivener's Bones The Knights of Crystallia The Shattered Lens The Dark Talent The Rithmatist series The Rithmatist Other books by Brandon Sanderson The Reckoners Steelheart Firefight Calamity","Brandon Sanderson","","1247","1247","2021-08-13T06:42:38Z","2021-05-27T09:06:00Z","2021-07-17T13:35:09Z","Read","https://tse4.mm.bing.net/th?id=OIP.2LuF7bmp6c_jgv31_kBSQwHaLQ&pid=Api","2021-07-17T13:35:09Z=1247,2021-07-17T03:12:53Z=1193,2021-07-16T13:30:00Z=1160,2021-07-16T06:36:25Z=1147,2021-07-16T06:16:58Z=1139,2021-07-15T13:17:37Z=1116,2021-07-15T03:34:26Z=1102,2021-07-14T23:00:39Z=1091,2021-07-14T13:31:57Z=1082,2021-07-13T13:27:57Z=1046,2021-07-13T01:07:27Z=1031,2021-07-12T13:19:46Z=1023,2021-07-10T14:21:02Z=1000,2021-07-09T13:26:04Z=987,2021-07-08T13:40:05Z=972,2021-07-07T13:34:03Z=960,2021-07-06T13:01:50Z=943,2021-07-05T13:41:56Z=934,2021-07-04T13:21:33Z=916,2021-07-03T13:34:19Z=904,2021-07-02T13:38:57Z=893,2021-07-02T09:02:48Z=874"
